project,status,parent,operator,output,reserves,coal_type,coal_grade,type,workforce,country,region,url,lat,lng
Dahna Toor Coal Mine,operating,North Coal Enterprise (NCE),North Coal Enterprise (NCE),0.85,,subbituminous,thermal,underground,779,Afghanistan,Asia,https://www.gem.wiki/Dahna_Toor_Coal_Mine,35.70499225,67.31219552
Garmak Project Coal Mine,operating,Khoshak Brothers Company,Khoshak Brothers Company,0.04,,subbituminous,thermal,underground,783,Afghanistan,Asia,https://www.gem.wiki/Garmak_Project_Coal_Mine,35.733,67.308
Shadashak Coal Mine,operating,North Coal Enterprise (NCE),North Coal Enterprise (NCE),1.1,,bituminous,met,underground,673,Afghanistan,Asia,https://www.gem.wiki/Shadashak_Coal_Mine,35.863255,67.596674
Tala Wa Barfak Coal Mine,operating,North Coal Enterprise (NCE),North Coal Enterprise (NCE),0.1,,subbituminous,thermal,underground,960,Afghanistan,Asia,https://www.gem.wiki/Tala_Wa_Barfak_Coal_Mine,35.33194,68.12
Valius Coal Mine,operating,,,0.13,,lignite,thermal,underground,888,Albania,Europe,https://www.gem.wiki/Valius_Coal_Mine,41.39151824,19.73642639
Río Turbio Coal Mine,operating,Yacimientos Carboníferos Río Turbio (YCRT),Yacimientos Carboníferos Río Turbio (YCRT),0.07,450,subbituminous,thermal,underground,400,Argentina,Americas,https://www.gem.wiki/Río_Turbio_Mine,-51.538363,-72.324353
Airly Coal Mine,operating,Banpu,Centennial Coal Airly,1.17,32,bituminous,thermal,underground,155,Australia,Oceania,https://www.gem.wiki/Airly_Mine,-33.1130709,150.0149367
Alpha Coal Project,cancelled,"GVK Group (79%), Hancock Coal (21%)",GVK Hancock,32,821,subbituminous,thermal,surface,,Australia,Oceania,https://www.gem.wiki/Alpha_Coal_Project,-23.389482,146.39734
Alpha West Coal Project,cancelled,GVK Group,GVK Hancock,24,,subbituminous,thermal,underground,,Australia,Oceania,https://www.gem.wiki/Alpha_West_coal_project,-23.115171,146.332751
Angus Place Coal Mine,cancelled,Banpu,Centennial Coal Angus Place,3,54,subbituminous,thermal,underground,270,Australia,Oceania,https://www.gem.wiki/Angus_Place_Colliery,-33.349157,150.199019
Angus Place Coal Mine,mothballed,"Banpu (50%), Boulder Mining Pty Limited (50%)",Angus Place Pty Limited,0,27,subbituminous,thermal,underground,280,Australia,Oceania,https://www.gem.wiki/Angus_Place_Colliery,-33.351985,150.099356
Angus Place West Coal Mine,proposed,Banpu,Centennial Coal Angus Place,2,,subbituminous,thermal,underground,200,Australia,Oceania,https://www.gem.wiki/Angus_Place_Colliery,-33.349157,150.199019
Appin Coal Mine,operating,South32,Illawarra Coal,4.7,113,bituminous,met,underground,875,Australia,Oceania,https://www.gem.wiki/Appin_mine,-34.211194,150.792736
Aquila Coal Mine,operating,"Anglo American (70%), Mitsui Holdings (30%)",Mastermyne,5,45,bituminous,met,underground,600,Australia,Oceania,https://www.gem.wiki/Aquila_Mine,-22.9816055,148.5373229
Ashton Coal Mine,cancelled,Yankuang Energy,Ashton Coal Operations,2.4,,bituminous,thermal_and_met,surface,160,Australia,Oceania,https://www.gem.wiki/Ashton_coal_project,-32.468942,151.078493
Ashton Coal Mine,operating,Yankuang Energy,Ashton Coal Operations,2.1,21,bituminous,thermal_and_met,underground_and_surface,317,Australia,Oceania,https://www.gem.wiki/Ashton_coal_mine,-32.468942,151.078493
Baralaba Coal Mine,operating,AMCI Group,Golding Contractors,1.8,79,bituminous,thermal_and_met,surface,400,Australia,Oceania,https://www.gem.wiki/Baralaba_coal_mine,-24.13680401,149.7936125
Baralaba Coal Mine,proposed,AMCI Group,Golding Contractors,2,79,bituminous,thermal_and_met,surface,400,Australia,Oceania,https://www.gem.wiki/Baralaba_coal_mine,-24.15411438,149.8027197
Belview Coal Mine,shelved,Golden Energy Mines,Stanmore Coal,2.6,,bituminous,met,underground,,Australia,Oceania,https://www.gem.wiki/Belview_coal_project,-23.587132,148.977385
Bengalla Coal Mine,operating,"New Hope Group (80%), Taipower (20%)",Bengalla Mining Company,11.7,183,subbituminous,thermal,surface,420,Australia,Oceania,https://www.gem.wiki/Bengalla_mine,-32.268076,150.84
Blackwater Coal Mine,operating,"BHP (50%), Mitsubishi Corporation (50%)",BHP Mitsubishi Alliance (BMA),11.6,372,bituminous,thermal_and_met,surface,1530,Australia,Oceania,https://www.gem.wiki/Blackwater_mine,-23.685585,148.807361
Blackwood Coal Mine,operating,Cement Australia,Cornwall Coal Company,0.6,,bituminous,thermal,underground,70,Australia,Oceania,https://www.gem.wiki/Blackwood_Mine_(Cornwall_Colliery),-41.559798,148.130942
Blair Athol Coal Mine,operating,TerraCom,Orion Mining,2.3,29,subbituminous,thermal,surface,184,Australia,Oceania,https://www.gem.wiki/Blair_Athol_mine,-22.703221,147.54353
Bloomfield Coal Mine,operating,Bloomfield Group,Bloomfield Collieries,1.3,8,bituminous,thermal_and_met,surface,100,Australia,Oceania,https://www.gem.wiki/Bloomfield_Mine_and_Colliery,-32.7928986,151.5841947
